longitude,latitude,max_temp,min_temp
-101.0422,39.7997,39.4,17.8
-105.3603,42.7467,28.9,16.1
-93.1675,35.2342,37.8,20
-95.8364,42.0633,30.6,21.1
-99.3358,38.8586,38.9,19.4
-101.2767,45.8383,27.2,18.3
-106.4278,36.2403,32.2,13.9
-89.3453,43.1406,33.9,18.3
-96.9406,48.7714,20.6,16.7
-96.3792,42.3914,34.4,20
-91.5881,42.05,37.8,19.4
-102.2036,42.8947,31.7,17.2
-105.6747,41.3119,16.1,11.1
-111.3703,35.5247,20,16.1
-92.4369,39.4194,32.8,22.8
-89.9328,31.9544,36.7,18.9
-97.2417,48.9711,20.6,16.1
-94.6833,40.2394,35,22.8
-91.9683,40.7275,33.3,21.7
-97.2608,42.6167,30,22.2
-100.2228,40.3761,40.6,15.6
-100.3456,37.8131,37.2,20
-101.2922,47.8214,25.6,15.6
-99.3808,39.245,40,19.4
-97.5606,44.3867,31.1,20.6
-93.1264,45.5506,31.1,15
-109.8378,31.9356,22.2,17.2
-96.7289,43.5878,32.8,20.6
-95.755,39.4578,38.3,21.1
-92.4394,40.7597,34.4,22.2
-111.0125,39.2078,25.6,14.4
-86.2408,42.0147,34.4,15.6
-91.5647,40.9486,35.6,21.1
-96.3258,44.0139,26.1,18.9
-93.3269,43.1544,37.2,19.4
-99.8403,43.3686,33.3,21.7
-91.5511,44.1331,32.8,20.6
-92.4011,42.5544,37.2,20
-105.4919,44.2644,26.1,20
-92.7594,42.3647,26.1,20
-93.2225,39.1342,33.3,22.8
-97.9842,40.0314,38.3,19.4
-100.9447,39.1131,38.3,16.7
-93.6531,41.5339,38.3,22.8
-88.9167,35.5931,34.4,22.2
-89.9864,35.0564,34.4,25
-92.4467,41.1078,36.7,22.2
-108.3794,39.5008,16.7,13.3
-104.9742,38.8417,21.1,8.9
-94.0475,40.8236,33.9,20.6
-106.9092,40.1561,23.9,10.6
-84.65,40.1,33.3,17.8
-89.9958,42.4006,34.4,17.8
-104.7956,37.6303,31.7,18.3
-99.0303,42.5136,33.9,21.1
-89.8467,38.52,36.1,21.1
-112.8097,34.9281,18.9,13.9
-91.9194,44.3272,33.9,20.6
-92.5747,40.2058,36.1,22.2
-91.3672,30.7267,35.6,20.6
-99.4192,39.4031,40,23.3
-85.8678,41.2633,33.3,17.2
-95.4242,37.9233,35.6,21.7
-97.5228,45.3331,27.2,19.4
-94.7086,37.8428,36.1,23.9
-99.0383,45.4478,25,18.3
-108.0514,37.2308,26.7,12.2
-96.1058,38.8592,37.8,20.6
-104.3378,37.2622,31.7,17.2
-97.1494,44.9047,30,19.4
-96.9469,40.6194,35.6,19.4
-88.3264,38.3806,36.1,21.1
-95.0653,42.8931,34.4,18.9
-87.8628,36.4819,31.1,23.3
