longitude,latitude,max_temp,min_temp,degrees_from_mean
-112.3278,38.9664,18.9,3.9,20.29
-105.1175,44.0992,16.7,0.6,24.9
-106.3214,35.8644,17.2,1.7,18.47
-119.5128,37.0919,18.3,11.1,7.44
-106.6375,43.7144,15,0.6,11.21
-95.7469,40.3706,22.2,-2.8,17.71
-112.2975,40.5278,17.8,8.9,24.56
-100.7247,37.9272,24.4,1.1,15.39
-113.8953,44.5664,11.7,3.9,14.84
-111.7869,40.6242,17.8,7.2,21.02
-111.4078,40.7908,11.7,6.1,15.87
-111.1125,43.7306,9.4,0.6,21.43
-104.3567,44.4122,12.8,0.6,10.7
-111.7794,39.9578,16.1,9.4,15.09
-103.625,34.4278,25.6,-3.3,11.63
-105.6747,41.3119,13.9,1.7,25.74
-115.9694,44.1011,12.2,0.6,6.79
-111.9694,40.7781,19.4,8.9,25.8
-106.4472,44.5781,20,-5.6,17.14
-110.395,40.1678,16.1,-6.7,12.86
-118.1056,38.3844,13.9,6.7,9.52
-118.5692,40.0681,19.4,4.4,9.81
-104.585,36.3628,23.3,-2.8,11.95
-114.2272,33.665,29.4,9.4,8.14
-109.8675,37.1497,21.7,-1.7,10.21
-106.0567,36.0908,21.1,-8.3,10.5
-95.755,39.4578,21.1,4.4,14.93
-111.0125,39.2078,17.8,-6.1,11.31
-110.5889,43.8567,8.3,-19.4,8.7
-111.5367,32.9947,30,3.9,7.95
-105.8825,46.4267,16.7,-5.6,15.42
-104.0567,38.3422,24.4,0,14.67
-111.42,37.905,15.6,-0.6,9.2
-114.45,37.9344,14.4,4.4,8.83
-116.9717,44.0439,15,4.4,8.34
-108.3794,39.5008,17.8,-3.3,11.81
-101.2103,36.865,27.2,4.4,16.1
-104.9742,38.8417,12.8,-3.3,10.91
-109.885,34.7994,21.7,0.6,9.33
-111.71,47.2194,18.3,1.1,13.28
-117.1739,38.7839,13.9,5.6,11.95
-107.1997,41.8056,11.1,0.6,20.67
-104.7956,37.6303,22.2,5.6,23.64
-99.0303,42.5136,19.4,-2.2,16.34
-116.1175,45.9414,11.1,5,8.89
-120.9506,37.6242,19.4,12.8,7.38
-111.0339,43.7728,9.4,-1.7,8.89
-109.5575,37.2825,20.6,-5,9.71
-106.2606,34.5208,21.1,0,10.3
-108.0514,37.2308,13.9,-5.6,10.13
-120.0936,39.3886,12.2,2.2,12.67
-112.5858,39.3375,19.4,2.2,21.02
-104.3378,37.2622,23.3,2.8,22.69
-108.3492,35.0381,17.2,-5.6,9.15
-102.0753,36.3372,25.6,1.1,14.63
-96.9469,40.6194,22.8,-0.6,17.83
-106.6156,35.0419,21.1,1.7,9.15
-111.5992,39.3583,19.4,0,14.23
-99.7689,36.2967,27.8,3.9,16.48
-111.2822,40.6439,12.8,1.1,10.78
-109.045,44.5147,16.7,1.1,12.15
-111.3822,47.4733,17.2,1.7,14.1
-99.1433,41.7769,21.7,-4.4,17.66
-111.9636,46.6056,18.3,1.7,15.47
-121.2258,37.8892,17.8,12.2,7.5
-105.8667,40.185,7.8,-16.7,8.44
-107.8225,47.0219,18.3,3.3,28.08
-101.8136,33.6542,27.2,3.3,12.75
-111.2781,47.4883,16.7,1.7,13.82
-115.7886,40.8289,15,4.4,11.73
-109.4117,40.9317,14.4,-2.2,10.32
-116.0481,44.5228,10,-12.2,8.02
-108.5422,45.8069,20.6,6.7,30.29
-95.6639,38.9503,21.7,1.7,15.11
-112.9217,40.1839,19.4,2.8,12.02
-104.9456,36.4661,20.6,-10.6,10.99
-95.4842,37.6703,22.8,3.3,14.55
-95.5919,40.0803,21.7,-1.7,16.46
-105.1314,40.6147,22.8,-0.6,15.08
-100.1514,40.9394,23.3,-3.3,17.54
-117.0903,38.0511,13.9,2.8,7.35
-104.6114,44.0928,15.6,-2.8,14.04
-105.8614,37.4389,15.6,-9.4,11.22
-113.7622,42.6283,12.8,3.3,9.18
-102.7217,40.1236,23.3,2.8,26.45
-116.1047,44.8872,2.8,0.6,10.74
-120.1575,41.8714,7.8,3.9,8.12
-110.0511,40.4178,13.9,-5.6,11.3
-106.7469,35.9478,12.8,-7.8,8.68
-122.4497,43.275,11.1,5,5.59
-110.4203,44.9167,10,-8.9,9.89
-111.1508,33.6731,25.6,7.8,7.61
-104.0939,38.8611,20.6,1.1,13.89
-105.7878,42.8267,15,5.6,12.95
-101.7,39.3669,23.3,-4.4,16
-106.6086,38.8183,8.9,-18.9,9.05
-110.7208,35.0281,23.3,-0.6,11.01
-106.2314,45.8161,18.9,-1.1,15.11
-114.7733,39.4136,14.4,2.2,9.47
-99.8297,39.3756,26.1,-2.7,18.91
-119.5167,48.4608,6.1,1.7,6.84
-104.8061,41.1519,16.7,1.7,12.13
-111.3208,41.825,11.7,-6.1,10.76
-104.9492,42.1106,16.7,5.6,12.81
-120.6283,35.6697,18.9,11.7,8.76
-105.4481,35.8917,16.7,2.2,19.88
-102.55,36.0167,26.1,1.7,14.51
-119.7194,36.78,19.4,12.2,7.15
-120.6831,35.1597,18.9,13.9,6.94
-116.2406,43.5667,12.8,7.2,9.61
-98.3836,40.6472,23.9,-0.6,19.51
-110.4408,45.6983,15,6.7,13.31
-111.1608,45.7881,14.4,1.1,24.29
-106.4636,42.8975,13.9,2.2,11.11
-102.3508,38.8219,24.4,1.1,15.67
-117.0247,43.9794,14.4,4.4,8.25
-103.2717,30.1925,29.4,3.9,10.84
-111.4747,45.9469,16.7,5.6,26.08
-116.243,46.2325,12.2,3.3,7.44
-97.4353,41.9856,20,-3.9,17.84
-106.5781,36.9178,14.4,-6.1,9.45
-103.9439,35.8022,25,0,14.23
-111.8319,39.7122,17.8,2.2,10.92
-107.8706,46.6006,19.4,0,14.96
-111.8653,39.5608,16.1,2.2,9.05
-108.035,44.38,20,-7.2,16.85
